,X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes
0,1.0,1.0,5.0,16.64,5.4167,0.1063,#6732,0tm$RlZBj41hxXR9utY6yq,0.3266,IfcColumn,3.072
1,1.0,1.0,5.45,18.08,5.381,0.0972,#6777,0tm$RlZBj41hxXR9utY6wm,0.3266,IfcColumn,3.36
2,1.0,1.0,5.8,19.2,5.3571,0.0911,#6813,0tm$RlZBj41hxXR9utY6w5,0.3266,IfcColumn,3.584
3,1.0,1.0,6.5,21.44,5.3175,0.081,#6849,0tm$RlZBj41hxXR9utY6xg,0.3266,IfcColumn,4.032
4,1.0,1.0,5.0,16.6379,5.4174,0.1063,#6896,1BP3hKwOb0kuV7bDqfo_Zm,0.3266,IfcColumn,3.0712
5,1.0,1.0,5.25,17.44,5.396,0.1011,#6968,1BP3hKwOb0kuV7bDqfo_ZA,0.3266,IfcColumn,3.232
6,1.0,1.0,5.0,16.6387,5.4171,0.1063,#7051,1BP3hKwOb0kuV7bDqfo_ik,0.3266,IfcColumn,3.0715
7,0.8,0.8,5.0,12.24,7.0833,0.1418,#7123,1BP3hKwOb0kuV7bDqfo_iE,0.2449,IfcColumn,1.728
8,1.0,1.0,6.9,22.44,5.3736,0.0783,#7608,0d0HEE33X1Gwqn4j0xLyIR,0.327,IfcColumn,4.176
9,1.0,1.0,4.7,15.68,5.4444,0.1134,#7646,0d0HEE33X1Gwqn4j0xLya_,0.3266,IfcColumn,2.88
10,0.8,0.8,4.7,11.52,7.1111,0.1512,#8026,0d0HEE33X1Gwqn4j0xLyaA,0.2449,IfcColumn,1.62
11,1.0,1.0,4.3,14.4,5.4878,0.1245,#8444,0d0HEE33X1Gwqn4j0xLyza,0.3266,IfcColumn,2.624
12,0.8,0.8,4.3,10.56,7.1545,0.166,#8748,0d0HEE33X1Gwqn4j0xLyzq,0.2449,IfcColumn,1.476
13,1.0,1.0,4.7,15.56,5.5571,0.1152,#160943,2JZkNUIYX3Oe5duEtnBoT9,0.3226,IfcColumn,2.8
14,1.0,1.0,4.7,15.44,5.546,0.1155,#161845,2JZkNUIYX3Oe5duEtnBoVm,0.3217,IfcColumn,2.784
15,0.9,0.9,4.3,12.46,6.2021,0.1422,#162111,2JZkNUIYX3Oe5duEtnBoVh,0.2858,IfcColumn,2.009
16,0.9,0.9,4.7,13.58,6.1587,0.1296,#162644,2JZkNUIYX3Oe5duEtnBo0x,0.2858,IfcColumn,2.205
17,0.9,0.9,4.55,13.16,6.1741,0.1341,#163708,2JZkNUIYX3Oe5duEtnBomz,0.2858,IfcColumn,2.1315
18,0.8,0.8,4.55,11.16,7.1264,0.1564,#164802,2JZkNUIYX3Oe5duEtnBorw,0.2449,IfcColumn,1.566
19,0.9,0.9,4.95,14.28,6.1353,0.1228,#165030,2JZkNUIYX3Oe5duEtnBork,0.2858,IfcColumn,2.3275
20,0.9,0.9,5.05,14.56,6.1267,0.1202,#165258,2JZkNUIYX3Oe5duEtnBosp,0.2858,IfcColumn,2.3765
21,0.8,0.8,5.05,12.36,7.079,0.1403,#165562,2JZkNUIYX3Oe5duEtnBosZ,0.2449,IfcColumn,1.746
22,0.9,0.9,5.45,16.24,6.4986,0.1144,#165801,2JZkNUIYX3Oe5duEtnBosN,0.2858,IfcColumn,2.499
23,0.65,0.65,4.4,7.965,9.3651,0.216,#166182,0SOcvHLr94dfpK71UH$l3y,0.1837,IfcColumn,0.8505
