,X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes
0,0.7,0.6,3.78,6.844,9.5587,0.2582,#153649,3DL1ddZED469hJG78yIUvt,0.1848,IfcColumn,0.716
1,0.8,0.825,3.78,9.521,7.4821,0.1924,#154622,3DL1ddZED469hJG78yIUwV,0.2448,IfcColumn,1.2725
2,0.8,0.825,3.78,9.9435,7.6621,0.1915,#155019,3DL1ddZED469hJG78yIUwR,0.2485,IfcColumn,1.2978
3,0.7,0.7,3.78,7.66,8.5587,0.2281,#155208,3DL1ddZED469hJG78yIUwN,0.2041,IfcColumn,0.895
4,0.6,0.6,3.78,6.048,10.5587,0.2851,#155599,3DL1ddZED469hJG78yIUwh,0.1633,IfcColumn,0.5728
5,0.6,1.5454,3.78,13.5799,7.0518,0.2104,#155821,3DL1ddZED469hJG78yIUwX,0.4051,IfcColumn,1.9257
6,0.6,0.7,3.78,6.844,9.5587,0.2582,#155912,3DL1ddZED469hJG78yIUwZ,0.1848,IfcColumn,0.716
7,0.65,0.7,3.78,7.252,9.0031,0.2411,#156943,2vL___zjH6pO_Fn2$syaDB,0.1942,IfcColumn,0.8055
8,0.6,0.7,3.78,6.8505,9.5795,0.2584,#158967,2vL___zjH6pO_Fn2$syaBd,0.1848,IfcColumn,0.7151
9,0.65,0.6,3.78,6.446,10.0031,0.2697,#159051,2vL___zjH6pO_Fn2$sya8K,0.1738,IfcColumn,0.6444
10,0.65,0.65,3.78,6.849,9.4475,0.2534,#159122,2vL___zjH6pO_Fn2$sya8h,0.1837,IfcColumn,0.725
11,0.55,0.7,3.78,6.436,10.2729,0.2812,#159193,2vL___zjH6pO_Fn2$sya7j,0.1762,IfcColumn,0.6265
12,5.2,0.6,3.78,42.664,5.9587,0.2022,#160800,2vL___zjH6pO_Fn2$syaUJ,1.448,IfcColumn,7.16
13,0.7,0.6,3.4,6.16,9.625,0.2888,#160876,2vL___zjH6pO_Fn2$syaUr,0.1848,IfcColumn,0.64
14,0.6,0.7,3.78,6.944,10.0857,0.2683,#162545,1jOdmf1g15sP6KRDpj8k5V,0.1847,IfcColumn,0.6885
15,0.6,0.7,3.78,6.769,10.2405,0.2792,#162629,1jOdmf1g15sP6KRDpj8k5C,0.1845,IfcColumn,0.661
16,0.6,0.7,3.78,6.824,10.3238,0.2794,#167227,2v99NL2sf6qBDgL4Hvx7mN,0.1847,IfcColumn,0.661
17,0.6,0.7,3.78,6.254,10.3201,0.305,#169243,2v99NL2sf6qBDgL4Hvx7t_,0.1848,IfcColumn,0.606
18,0.6,1.5454,3.78,13.5734,7.0452,0.2103,#180816,3BijtSjS99h9R6AyNbzr9_,0.4052,IfcColumn,1.9266
19,0.8,0.825,3.78,9.521,7.092,0.1863,#183284,3BijtSjS99h9R6AyNbzssy,0.2501,IfcColumn,1.3425
20,0.7,0.6,3.9,7.06,9.6185,0.2518,#442431,0ZqacWhpf1Hv5rQXjA6mng,0.1848,IfcColumn,0.734
21,0.7,0.4,3.9,5.38,14.5405,0.4202,#442528,0ZqacWhpf1Hv5rQXjA6mne,0.1555,IfcColumn,0.37
22,0.7,0.6,3.9,7.072,9.6903,0.2535,#444699,0ZqacWhpf1Hv5rQXjA6mk8,0.185,IfcColumn,0.7298
23,0.45,0.6,3.9,5.01,13.5405,0.368,#445776,0ZqacWhpf1Hv5rQXjA6mkQ,0.1362,IfcColumn,0.37
24,0.7,0.4,3.9,5.3799,14.5412,0.4202,#445876,0ZqacWhpf1Hv5rQXjA6mkO,0.1555,IfcColumn,0.37
25,0.7,0.4,3.9,5.3801,14.5399,0.4201,#446680,0ZqacWhpf1Hv5rQXjA6mki,0.1555,IfcColumn,0.37
26,0.7,0.6,3.9,7.06,9.5405,0.2498,#447246,0ZqacWhpf1Hv5rQXjA6mkW,0.1848,IfcColumn,0.74
27,0.7,0.6,3.9,7.06,9.6501,0.2529,#448356,0ZqacWhpf1Hv5rQXjA6mko,0.185,IfcColumn,0.7316
28,0.7,0.6,3.9,7.012,9.6319,0.2539,#449059,0ZqacWhpf1Hv5rQXjA6ml8,0.1848,IfcColumn,0.728
29,0.7,0.6,3.9,6.952,9.6288,0.256,#449354,0ZqacWhpf1Hv5rQXjA6ml6,0.1848,IfcColumn,0.722
