,X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes
0,4.2,0.28,0.65,5.7753,110.0489,22.9499,#97114,3zaAvjPHzAtPhd5y5wMMEJ,1.2044,IfcWindow,0.0525
1,5.0,0.28,0.65,6.8985,110.3842,22.9811,#97217,3zaAvjPHzAtPhd5y5wMM0Y,1.4362,IfcWindow,0.0625
2,2.2,0.34,1.7,9.0106,87.6398,6.6277,#97360,3zaAvjPHzAtPhd5y5wMNSt,0.6814,IfcWindow,0.1028
3,0.28,3.4,0.65,4.6521,109.5556,22.8948,#132834,1Ja3FTFBf0UgAw_SdfQeU6,0.9722,IfcWindow,0.0425
4,0.28,4.2,0.65,5.7753,110.0489,22.9499,#132856,1Ja3FTFBf0UgAw_SdfQePE,1.2044,IfcWindow,0.0525
5,0.36,1.0,1.2,3.2553,81.4847,6.9676,#208751,1LitFc0_j6nhlXIKlpAUUA,0.2784,IfcWindow,0.0399
6,0.36,1.4,0.8,2.9657,79.9685,10.6077,#208954,2GUQs$cJH27vmPovo6x3$h,0.3934,IfcWindow,0.0371
7,0.36,1.4,1.4,5.0945,87.779,7.0946,#209177,1hB9NJWgHAug8Y4mfdRtj1,0.4118,IfcWindow,0.058
8,1.4,0.36,0.8,2.9657,79.9685,10.6077,#209280,36dcgM5n5AeAgKbzigWki$,0.3934,IfcWindow,0.0371
9,0.295,0.295,21.6534,8.1704,42.1985,0.2003,#217314,24ni5_C6b2K98inEE9xz9l,0.0388,IfcWindow,0.1936
