,X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes
0,2.24,0.535,1.55,11.0382,102.0623,6.7502,#193481,3HjGHCuMn9$edX7Mr5s_NS,0.73,IfcWindow,0.1082
1,1.18,0.535,0.65,3.143,87.3282,9.8045,#193692,3HjGHCuMn9$edX7Mr5s_NV,0.3529,IfcWindow,0.036
2,2.24,0.45,1.55,9.9074,110.0107,7.9416,#204055,3PTd4hcX9EoPMCDL1wigt0,0.7152,IfcWindow,0.0901
3,1.18,0.45,0.65,2.6785,93.7885,12.0131,#204238,3PTd4hcX9EoPMCDL1wigt1,0.3431,IfcWindow,0.0286
4,0.35,1.3,2.8,7.922,114.8116,6.3769,#311203,38jwQ6InrAUfHnvBtQKAjG,0.44,IfcWindow,0.069
5,0.425,2.04,1.4,7.5534,168.9407,14.6991,#331648,3mX5pBMvvFrhXsGvY_EGx3,0.6572,IfcWindow,0.0447
6,0.45,2.24,1.55,9.9074,110.0107,7.9416,#423953,2RN0Uom9P1xfIxxJJnHRgc,0.7152,IfcWindow,0.0901
7,0.45,1.18,0.65,2.6785,93.7885,12.0131,#424026,2RN0Uom9P1xfIxxJJnHRgb,0.3431,IfcWindow,0.0286
8,2.24,0.4,1.55,9.2422,116.3781,8.8703,#615835,1raN82uK9Eww8ZxSMCRKKV,0.7044,IfcWindow,0.0794
9,0.35,2.04,1.4,6.6534,186.3158,17.9848,#680403,36AUSQBif8OuLmA$1INy9p,0.6422,IfcWindow,0.0357
10,0.325,2.04,1.4,6.3534,194.2322,19.4381,#680627,36AUSQBif8OuLmA$1INyB8,0.6358,IfcWindow,0.0327
11,0.4,2.24,1.55,9.2422,116.3781,8.8703,#1373062,3FdfJQ2IvEkxovTxrln1Bp,0.7044,IfcWindow,0.0794
12,2.36,0.35,2.7,15.0476,131.6953,6.5335,#1381766,3XD5c1MJD0IAYQirl4Sfxd,0.7465,IfcWindow,0.1143
13,1.16,0.35,0.69,1.7658,79.3176,14.993,#1381912,26A5fUlUT4SwO1jEp6paX9,0.3338,IfcWindow,0.0223
14,1.16,0.35,1.72,4.3738,101.651,8.7067,#1382272,26A5fUlUT4SwO1jEp6paqQ,0.3746,IfcWindow,0.043
15,1.16,0.35,1.5815,4.0231,99.9894,9.2392,#1383142,2Dt_CoLBj3WwFstrUWreYd,0.3717,IfcWindow,0.0402
16,1.16,0.376,0.8475,4.564,227.7169,15.858,#1383773,2Dt_CoLBj3WwFstrUWrepK,0.3178,IfcWindow,0.02
17,0.35,2.36,2.7,15.0476,131.6953,6.5335,#1391007,2hifhqQ0vCKRi8N5$tt6bu,0.7465,IfcWindow,0.1143
18,0.35,1.16,0.69,1.7658,79.3176,14.993,#1391080,2hifhqQ0vCKRi8N5$tt6bv,0.3338,IfcWindow,0.0223
19,0.35,1.16,1.72,4.3738,101.651,8.7067,#1391368,2hifhqQ0vCKRi8N5$tt6bz,0.3746,IfcWindow,0.043
20,0.35,1.41,2.7,9.416,124.7391,5.9117,#1397105,2hifhqQ0vCKRi8N5$tt6Te,0.4462,IfcWindow,0.0755
21,0.35,1.16,1.5815,4.0231,99.9894,9.2392,#1419285,2M15FueRj7lRyzzaOce1_u,0.3717,IfcWindow,0.0402
22,0.376,1.16,0.8475,4.564,227.7169,15.858,#1419357,2M15FueRj7lRyzzaOce1_v,0.3178,IfcWindow,0.02
23,1.7,0.35,2.135,8.9158,125.5019,7.5231,#1449247,1YKihOOcfBiO1oIaoNw9z7,0.5344,IfcWindow,0.071
24,0.95,0.35,0.6,1.5903,105.3426,17.0724,#1449451,1YKihOOcfBiO1oIaoNw9z6,0.2577,IfcWindow,0.0151
25,1.7,0.35,0.72,3.3576,110.937,16.2717,#1449728,1YKihOOcfBiO1oIaoNw9z4,0.4925,IfcWindow,0.0303
26,0.8001,0.2921,0.8001,1.1325,35.2681,5.5006,#1474367,0LE2Q3W3D1hwzmpWrxeOfQ,0.1766,IfcWindow,0.0321
27,0.6299,0.7378,0.8001,1.1325,35.2681,5.5006,#1523119,12xSY5F4D0rxnOeZOhFB$j,0.1766,IfcWindow,0.0321
28,0.7704,0.5694,0.8001,1.1325,35.2681,5.5006,#1523208,12xSY5F4D0rxnOeZOhFB_v,0.1766,IfcWindow,0.0321
29,0.8051,0.3339,0.8001,1.1325,35.2681,5.5006,#1523282,12xSY5F4D0rxnOeZOhFBzE,0.1766,IfcWindow,0.0321
30,0.7929,0.5023,0.8001,1.1325,35.2681,5.5006,#1523356,12xSY5F4D0rxnOeZOhFByr,0.1766,IfcWindow,0.0321
31,0.6849,0.6939,0.8001,1.1325,35.2681,5.5006,#1523430,12xSY5F4D0rxnOeZOhFByS,0.1766,IfcWindow,0.0321
32,0.4852,0.7968,0.8001,1.1325,35.2681,5.5006,#1523504,12xSY5F4D0rxnOeZOhFBy3,0.1766,IfcWindow,0.0321
33,0.2921,0.8001,0.8001,1.1325,35.2681,5.5006,#1523551,12xSY5F4D0rxnOeZOhFBxR,0.1766,IfcWindow,0.0321
34,4.4379,0.376,0.8475,18.9083,246.5287,16.6356,#1563900,1EfOQKID1AWOTG0g23tA8_,1.2759,IfcWindow,0.0767
35,1.4,0.3143,1.7,10.0305,210.4279,7.2787,#2887394,3HgRVPnL10IPhaZYgPboKu,0.347,IfcWindow,0.0477
