X,Y,Z,areas,ax1s,ax2s,bat_ids,gyrations,types,volumes,type 2
4.4493,4.7975,5.3,71.7291,4.8845,0.1141,#239,1.675,IfcWallStandardCase,14.685,G
7.0128,0.7,4.7,71.1311,4.8033,0.1288,#314,1.9078,IfcWallStandardCase,14.8089,G
7.2,0.7,4.7,74.5,4.7302,0.1286,#347,2.0259,IfcWallStandardCase,15.75,G
4.7,0.7,4.7,49.5,4.8889,0.1291,#380,1.307,IfcWallStandardCase,10.125,G
0.7,5.4443,4.7,55.3033,4.9417,0.1293,#426,1.4473,IfcWallStandardCase,11.1911,G
0.4,3.0645,5.15,30.8384,11.3014,0.2928,#3799,0.799,IfcWallStandardCase,2.7287,G
2.6476,0.4,5.15,26.596,11.4068,0.2931,#3847,0.6834,IfcWallStandardCase,2.3316,G
6.5498,0.4,5.15,67.3832,10.719,0.2917,#3880,1.8339,IfcWallStandardCase,6.2863,G
0.4,5.9,5.15,60.69,10.7549,0.2918,#3913,1.6465,IfcWallStandardCase,5.643,G
2.5998,0.4,3.65,18.8987,11.4131,0.4198,#3946,0.6952,IfcWallStandardCase,1.6559,G
4.3502,0.4,3.65,31.6763,11.0616,0.4189,#3979,1.1994,IfcWallStandardCase,2.8636,G
1.15,0.4,3.65,8.315,12.685,0.4275,#4012,0.2803,IfcWallStandardCase,0.6555,G
5.2,0.4,3.65,37.88,10.9797,0.4187,#4045,1.4445,IfcWallStandardCase,3.45,G
0.4,3.3,5.15,33.91,11.0492,0.2922,#4078,0.8968,IfcWallStandardCase,3.069,G
4.8,0.4,5.3,50.8,10.8269,0.2833,#4111,1.3292,IfcWallStandardCase,4.692,G
0.4,5,5.3,52.64,10.8313,0.2835,#4161,1.3777,IfcWallStandardCase,4.86,G
2.6,0.4,3.65,18.9,11.413,0.4198,#4194,0.6952,IfcWallStandardCase,1.656,G
10,0.4,5.3,105.84,10.8088,0.2919,#4227,2.8586,IfcWallStandardCase,9.792,G
0.4,3.2,5.15,32.88,11.0707,0.2922,#4281,0.8679,IfcWallStandardCase,2.97,G
0.7,3.5,4.7,37.5,5.0505,0.1298,#4314,0.9635,IfcWallStandardCase,7.425,G
0.7,7.1,5.3,82.38,4.682,0.1135,#4347,1.9971,IfcWallStandardCase,17.595,G
0.6,6.45,3.2,44.9,5.9867,0.2411,#4380,1.8079,IfcWallStandardCase,7.5,G
0.6,4.6,3.8,38.08,6.0101,0.2013,#4419,1.2754,IfcWallStandardCase,6.336,G
2.7,0.55,3.2,18.85,7.181,0.2776,#4452,0.7287,IfcWallStandardCase,2.625,G
7.1,0.55,3.2,48.33,6.6708,0.2753,#4491,1.9944,IfcWallStandardCase,7.245,G
7.1,0.55,3.1,46.88,6.6938,0.2848,#4524,1.9944,IfcWallStandardCase,7.0035,G
4.7,0.55,3.1,31.28,6.8484,0.2853,#4557,1.303,IfcWallStandardCase,4.5675,G
0.6,4.6009,3.2,32.3259,6.1211,0.2416,#4590,1.2757,IfcWallStandardCase,5.281,G
0.6,6.5,3.2,45.24,5.9841,0.241,#4623,1.8223,IfcWallStandardCase,7.56,G
0.6,4.4,3.2,30.96,6.1429,0.2417,#4656,1.2179,IfcWallStandardCase,5.04,G
0.7,2.4,4.7,26.5,5.3535,0.1316,#4689,0.6513,IfcWallStandardCase,4.95,G
0.4,4.1,3.8,31.08,11.0684,0.4015,#4722,1.1273,IfcWallStandardCase,2.808,G
4.5,0.5,3.8,35.7,7.6873,0.2679,#4755,1.2443,IfcWallStandardCase,4.644,G
1.05,0.5,3.65,8.445,9.5993,0.2958,#5568,0.2602,IfcWallStandardCase,0.8797,G
4.4493,4.7975,3.48,48.1611,5.102,0.1774,#8067,1.6742,IfcWallStandardCase,9.4396,G
6.7817,0.45,3,41.097,9.0795,0.4128,#8107,1.8686,IfcWallStandardCase,4.5263,G
7.2,0.45,3,44.1,9,0.4127,#8146,2.022,IfcWallStandardCase,4.9,G
4.7,0.45,3,28.85,9.1587,0.413,#8179,1.301,IfcWallStandardCase,3.15,G
0.45,5.1738,3,31.2467,9.2254,0.4133,#8231,1.3997,IfcWallStandardCase,3.387,G
0.45,3.5,3,21.53,9.3203,0.4136,#8264,0.9554,IfcWallStandardCase,2.31,G
0.7,7,3.45,54.25,4.9095,0.1781,#8297,1.9683,IfcWallStandardCase,11.05,G
0.45,6.45,3.1,40.825,9.0097,0.3985,#8330,1.8057,IfcWallStandardCase,4.5312,G
0.6,4.6,4,40,5.9809,0.1907,#8363,1.2754,IfcWallStandardCase,6.688,G
2.7,0.45,3.45,19.125,9.4154,0.3571,#8396,0.7253,IfcWallStandardCase,2.0312,G
5.53,0.45,3.4,38.377,9.0002,0.3612,#8429,1.5403,IfcWallStandardCase,4.264,G
7.1,0.45,3.4,49.21,8.9149,0.3611,#8462,1.9932,IfcWallStandardCase,5.52,G
4.7,0.45,3.1,29.8,9.1341,0.3988,#8495,1.301,IfcWallStandardCase,3.2625,G
0.45,4.6009,3,28.2453,9.1687,0.4131,#8528,1.2725,IfcWallStandardCase,3.0806,G
0.45,6.5,3,39.83,9.0317,0.4127,#8561,1.8201,IfcWallStandardCase,4.41,G
0.45,4.4,3.45,31.025,9.0916,0.3559,#8594,1.2146,IfcWallStandardCase,3.4125,G
0.45,2.5,3,15.43,9.5839,0.4148,#8627,0.6679,IfcWallStandardCase,1.61,G
0.4,3.6,5.15,37,10.9923,0.2921,#9078,0.9832,IfcWallStandardCase,3.366,G
0.4,2.9,5.3,30.66,11.1329,0.2838,#9111,0.7816,IfcWallStandardCase,2.754,G
0.4,3.0645,3.48,20.8063,11.5071,0.4419,#9157,0.799,IfcWallStandardCase,1.8081,G
2.6476,0.4,3.48,17.941,11.6125,0.4423,#9201,0.6834,IfcWallStandardCase,1.545,G
0.4,3.5,3.83,26.73,11.157,0.3984,#9234,0.9544,IfcWallStandardCase,2.3958,G
4.8,0.4,4,38.32,10.9611,0.3802,#9267,1.3292,IfcWallStandardCase,3.496,G
0.4,5,4,39.92,10.943,0.3802,#9300,1.3868,IfcWallStandardCase,3.648,G
2.6,0.4,4,20.72,11.3596,0.3812,#9333,0.6952,IfcWallStandardCase,1.824,G
0.4,3.4,4,27.12,11.1513,0.3806,#9438,0.9256,IfcWallStandardCase,2.432,G
0.4,4.1,4,32.72,11.0391,0.3803,#9471,1.1273,IfcWallStandardCase,2.964,G
4.5,0.5,3.6,33.71,7.7254,0.2842,#9540,1.2399,IfcWallStandardCase,4.3635,G
0.4,3,4,23.92,11.2406,0.3808,#9573,0.8103,IfcWallStandardCase,2.128,G
0.4,7,3.4,47.52,10.9191,0.4512,#13204,1.9638,IfcWallStandardCase,4.352,G
2.6,0.4,3.4,17.6,11.4583,0.4526,#13237,0.6952,IfcWallStandardCase,1.536,G
9.3,0.4,3.4,60.2,11.1399,0.4593,#13270,2.4819,IfcWallStandardCase,5.404,D1
0.4,3.4,3.4,23.04,11.25,0.4519,#13303,0.9256,IfcWallStandardCase,2.048,G
4.2,0.4,3.8,31.84,11.0556,0.4014,#13336,1.1561,IfcWallStandardCase,2.88,G
0.4,3.1,3.4,21,11.3147,0.4521,#13369,0.8391,IfcWallStandardCase,1.856,G
1.77,0.45,3.4,12.433,9.8989,0.3654,#13402,0.4589,IfcWallStandardCase,1.256,G
0.4,7.2,3.8,54.64,10.8413,0.4011,#13435,2.0216,IfcWallStandardCase,5.04,G
0.4,0.6,3.5,4.12,15.6061,0.489,#16319,0.1291,IfcWallStandardCase,0.264,G
2.2,0.4,3.4,14.88,11.625,0.4533,#17330,0.5802,IfcWallStandardCase,1.28,G
0.4,2.9,3.4,19.64,11.3657,0.4523,#17363,0.7816,IfcWallStandardCase,1.728,G
9.5,0.4,3.4,61.56,11.128,0.4589,#17396,2.5386,IfcWallStandardCase,5.532,D1
0.4,7.2,3.4,48.08,10.9672,0.4655,#17429,2.0409,IfcWallStandardCase,4.384,G
4,0.4,3.4,27.12,11.1513,0.4517,#17485,1.0985,IfcWallStandardCase,2.432,G
0.4,4.4,3.4,29.84,11.1012,0.4516,#17518,1.2138,IfcWallStandardCase,2.688,G
