X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes,type 2
0.4,5.85,3.4,39.7,10.979,0.4513,#170082,2v99NL2sf6qBDgL4Hvx7rt,1.632,IfcWallStandardCase,3.616,G
0.4,5.75,3.4,39.0201,10.9854,0.4513,#170330,2v99NL2sf6qBDgL4Hvx7ui,1.6032,IfcWallStandardCase,3.552,G
0.4,4.225,3.4,28.65,11.1219,0.4516,#170454,2v99NL2sf6qBDgL4Hvx7_F,1.1634,IfcWallStandardCase,2.576,G
0.4,4.2,3.4,28.48,11.125,0.4516,#170516,2v99NL2sf6qBDgL4Hvx7y3,1.1561,IfcWallStandardCase,2.56,G
2.1,0.4,3.4,14.2,11.6776,0.4535,#170702,2v99NL2sf6qBDgL4Hvx71B,0.5515,IfcWallStandardCase,1.216,G
0.4,4.3546,3.4,29.5314,11.1064,0.4516,#171880,2v99NL2sf6qBDgL4Hvx7Jw,1.2007,IfcWallStandardCase,2.659,G
0.4,1.55,3.4,10.4599,12.1065,0.456,#172066,2v99NL2sf6qBDgL4Hvx7N6,0.394,IfcWallStandardCase,0.864,G
0.45,4.65,3.4,32.305,9.0744,0.3614,#174136,3JMXB3LNXARBQKZCOMER3f,1.2866,IfcWallStandardCase,3.56,G
0.55,5.85,3.4,42.355,6.6933,0.2582,#174322,3JMXB3LNXARBQKZCOMERU4,1.6341,IfcWallStandardCase,6.328,G
0.55,5.75,3.4,41.645,6.6996,0.2583,#174384,3JMXB3LNXARBQKZCOMERP0,1.6053,IfcWallStandardCase,6.216,G
5.2,0.4,3.4,35.28,11.025,0.4514,#174570,3JMXB3LNXARBQKZCOMERLR,1.4445,IfcWallStandardCase,3.2,G
5.8,0.4,3.4,39.36,10.9821,0.4513,#174632,3JMXB3LNXARBQKZCOMERK8,1.6176,IfcWallStandardCase,3.584,G
0.4,2.4093,3.4,16.3034,11.5303,0.4529,#175128,06aXuHdnfDevf7cb6ywicA,0.6404,IfcWallStandardCase,1.414,G
0.6,0.3,3.4,3.28,25.625,0.9299,#175190,06aXuHdnfDevf7cb6ywifp,0.119,IfcWallStandardCase,0.128,G
0.3,4.6,3.4,29.68,21.0795,0.9023,#175276,06aXuHdnfDevf7cb6ywilb,1.2705,IfcWallStandardCase,1.408,G
0.7,0.3,3.4,3.942,24.9652,0.9303,#175338,06aXuHdnfDevf7cb6ywiju,0.1469,IfcWallStandardCase,0.1579,G
0.3,2.5,3.4,15.82,21.4946,0.903,#175425,06aXuHdnfDevf7cb6ywipR,0.6646,IfcWallStandardCase,0.736,G
0.7,0.3,3.4,3.94,24.625,0.92,#175487,06aXuHdnfDevf7cb6ywinX,0.1472,IfcWallStandardCase,0.16,G
0.3,1.3,3.4,7.9,22.4432,0.9058,#175611,06aXuHdnfDevf7cb6ywisS,0.3189,IfcWallStandardCase,0.352,G
0.4,2.05,3.4,13.86,11.7061,0.4537,#175673,06aXuHdnfDevf7cb6ywiqK,0.5372,IfcWallStandardCase,1.184,G
0.7,0.3,3.4,3.93,27.2917,0.9558,#175748,06aXuHdnfDevf7cb6ywixR,0.1376,IfcWallStandardCase,0.144,G
0.3,1.2,3.4,7.24,22.625,0.9066,#175885,06aXuHdnfDevf7cb6ywivk,0.2901,IfcWallStandardCase,0.32,G
0.3,5.05,3.4,32.65,21.0374,0.9023,#176071,06aXuHdnfDevf7cb6ywi_z,1.4004,IfcWallStandardCase,1.552,G
